time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
1537808,-0.0,0.9,0.36,-3.18,-1.8,-0.44,11.5,-27.6,7.42,2
1537820,-0.0,0.9,0.36,-2.66,-1.62,-0.31,11.5,-27.6,7.42,2
1537833,-0.0,0.9,0.36,-1.38,-1.24,-0.11,11.52,-27.54,7.71,2
1537844,-0.0,0.9,0.36,-0.78,-1.06,0.01,11.52,-27.54,7.71,2
1537856,-0.0,0.9,0.37,-0.26,-0.96,0.04,11.52,-27.54,7.71,2
1537867,-0.0,0.9,0.37,-0.23,-1.02,0.06,11.52,-27.54,7.71,2
1537879,-0.0,0.9,0.37,-0.25,-1.04,0.07,11.52,-27.54,7.71,2
1537891,-0.0,0.9,0.37,-0.27,-1.07,0.06,11.47,-27.5,7.65,2
1537902,-0.0,0.9,0.37,-0.29,-1.06,0.05,11.47,-27.5,7.65,2
1537914,-0.0,0.9,0.37,-0.4,-1.03,0.02,11.47,-27.5,7.65,2
1537925,-0.0,0.9,0.37,-0.7,-0.98,0.04,11.47,-27.5,7.65,2
1537937,-0.0,0.9,0.37,-0.76,-0.95,0.02,11.46,-27.47,7.77,2
1537948,-0.0,0.9,0.36,-0.74,-0.93,0.04,11.46,-27.47,7.77,2
1537959,-0.0,0.9,0.36,-0.38,-0.92,0.06,11.46,-27.47,7.77,2
1537971,-0.0,0.9,0.36,-0.08,-0.93,0.07,11.46,-27.47,7.77,2
1537983,-0.0,0.9,0.36,0.15,-0.96,0.09,11.41,-27.54,7.86,2
1537995,-0.0,0.9,0.36,0.19,-1.01,0.11,11.41,-27.54,7.86,2
1538007,-0.0,0.9,0.36,0.06,-1.02,0.06,11.41,-27.54,7.86,2
1538020,-0.0,0.9,0.36,0.01,-1.11,0.05,11.41,-27.54,7.86,2
1538031,-0.0,0.9,0.36,-0.07,-1.15,0.06,11.41,-27.54,7.86,2
1538042,-0.0,0.9,0.36,-0.12,-1.18,0.04,11.48,-27.51,7.86,2
1538056,-0.0,0.9,0.36,-0.16,-1.18,-0.0,11.48,-27.51,7.86,2
1538067,-0.0,0.9,0.36,-0.29,-1.17,-0.0,11.48,-27.51,7.86,2
1538078,-0.0,0.9,0.36,-0.49,-1.18,0.04,11.48,-27.51,7.86,2
1538091,-0.0,0.9,0.36,-0.87,-1.15,0.03,11.42,-27.5,8.05,2
1538102,-0.0,0.9,0.36,-0.81,-1.11,0.03,11.42,-27.5,8.05,2
1538116,-0.0,0.9,0.35,-0.25,-1.08,0.07,11.42,-27.5,8.05,2
1538128,-0.0,0.9,0.36,0.06,-1.09,0.07,11.42,-27.5,8.05,2
1538140,-0.0,0.9,0.36,0.39,-1.13,0.01,11.49,-27.58,8.2,2
1538151,-0.0,0.9,0.36,0.34,-1.26,-0.06,11.49,-27.58,8.2,2
1538162,-0.0,0.91,0.36,0.24,-1.48,-0.15,11.49,-27.58,8.2,2
1538173,-0.0,0.91,0.36,0.31,-1.51,-0.16,11.49,-27.58,8.2,2
1538186,-0.0,0.9,0.36,0.47,-1.35,-0.11,11.51,-27.63,8.43,2
1538197,-0.0,0.9,0.36,0.43,-1.3,-0.06,11.51,-27.63,8.43,2
1538210,-0.0,0.9,0.35,0.44,-1.15,-0.02,11.51,-27.63,8.43,2
1538220,-0.0,0.91,0.35,0.57,-1.15,0.01,11.51,-27.63,8.43,2
1538231,-0.0,0.91,0.35,0.81,-1.11,0.02,11.51,-27.63,8.43,2
1538244,-0.0,0.91,0.35,1.42,-1.13,0.07,11.51,-27.65,8.36,2
1538256,-0.0,0.91,0.35,1.61,-1.12,0.06,11.51,-27.65,8.36,2
1538268,-0.0,0.91,0.36,1.66,-1.06,0.06,11.51,-27.65,8.36,2
1538279,-0.0,0.9,0.36,1.59,-1.04,0.06,11.51,-27.65,8.36,2
1538290,-0.0,0.9,0.36,1.45,-1.02,0.06,11.65,-27.68,8.48,2
1538303,-0.0,0.91,0.35,1.36,-1.03,0.0,11.65,-27.68,8.48,2
1538314,-0.0,0.91,0.35,1.52,-1.01,0.04,11.65,-27.68,8.48,2
1538326,-0.0,0.91,0.36,1.68,-1.0,0.06,11.65,-27.68,8.48,2
1538339,-0.0,0.91,0.36,1.81,-0.99,0.07,11.66,-27.72,8.54,2
