time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
330430,0.01,0.17,-0.99,0.39,-1.81,1.21,5.87,24.12,42.41,1
330441,0.01,0.17,-0.98,0.6,-1.78,1.68,5.87,24.12,42.41,1
330452,0.01,0.17,-0.98,0.93,-1.59,2.32,5.87,24.12,42.41,1
330463,0.01,0.18,-0.98,1.71,-1.0,3.52,5.72,24.24,42.35,1
330475,0.01,0.18,-0.98,1.83,-0.74,3.97,5.72,24.24,42.35,1
330486,0.01,0.19,-0.98,1.62,-0.45,4.28,5.72,24.24,42.35,1
330497,0.01,0.19,-0.98,0.34,-0.1,4.56,5.72,24.24,42.35,1
330508,0.0,0.2,-0.98,-0.5,0.06,4.56,5.72,24.24,42.35,1
330519,0.0,0.2,-0.98,-1.59,0.22,4.4,5.87,24.27,42.46,1
330529,0.0,0.2,-0.98,-2.96,0.31,4.27,5.87,24.27,42.46,1
330539,0.0,0.2,-0.99,-4.5,0.26,4.2,5.87,24.27,42.46,1
330550,0.0,0.2,-1.01,-5.97,0.03,3.8,5.87,24.27,42.46,1
330563,-0.0,0.2,-1.01,-5.31,0.12,3.2,5.95,24.38,42.16,1
330576,-0.0,0.2,-1.01,-3.97,0.38,1.55,5.95,24.38,42.16,1
330588,0.0,0.2,-1.0,-4.4,0.36,0.85,5.95,24.38,42.16,1
330602,0.0,0.19,-1.0,-7.09,-0.45,0.29,5.95,24.38,42.16,1
330613,0.0,0.18,-1.0,-8.77,-0.87,0.3,5.94,24.44,42.39,1
330623,0.0,0.18,-1.0,-10.67,-1.21,0.43,5.94,24.44,42.39,1
330636,0.0,0.17,-1.0,-15.48,-1.72,0.55,5.94,24.44,42.39,1
330648,0.0,0.16,-1.01,-17.23,-2.12,0.67,5.94,24.44,42.39,1
330658,-0.0,0.16,-1.02,-17.24,-2.44,0.74,5.94,24.44,42.39,1
330670,-0.0,0.15,-1.01,-12.95,-2.12,0.42,6.01,24.76,42.39,1
330682,0.0,0.15,-1.0,-11.02,-1.68,0.28,6.01,24.76,42.39,1
330695,0.0,0.15,-0.99,-10.83,-1.07,0.17,6.01,24.76,42.39,1
330705,0.0,0.14,-0.98,-12.4,-1.13,0.08,6.01,24.76,42.39,1
330716,0.01,0.14,-0.98,-14.29,-1.23,-0.03,6.0,25.04,41.95,1
330729,0.01,0.14,-0.98,-14.93,0.32,-0.17,6.0,25.04,41.95,1
330740,0.01,0.12,-0.98,-14.0,1.29,-0.48,6.0,25.04,41.95,1
330751,0.01,0.12,-0.98,-13.0,2.3,-0.77,6.0,25.04,41.95,1
330762,0.02,0.11,-0.98,-12.36,3.32,-0.89,5.97,25.38,41.76,1
330773,0.01,0.1,-0.98,-12.62,4.23,-0.82,5.97,25.38,41.76,1
330785,0.01,0.1,-0.98,-13.98,4.89,-0.54,5.97,25.38,41.76,1
330798,0.02,0.09,-0.98,-20.71,5.34,0.59,5.97,25.38,41.76,1
330808,0.01,0.08,-0.99,-23.43,5.72,1.62,5.97,25.38,41.76,1
330819,0.01,0.07,-1.01,-25.12,6.17,3.02,5.94,25.74,41.67,1
330832,0.01,0.07,-1.02,-22.9,6.3,6.29,5.94,25.74,41.67,1
330843,-0.01,0.08,-1.03,-19.25,6.08,7.34,5.94,25.74,41.67,1
330854,-0.02,0.08,-1.02,-15.41,5.9,7.82,5.94,25.74,41.67,1
330866,-0.02,0.09,-1.01,-11.13,4.94,7.18,5.76,26.42,41.54,1
330877,-0.03,0.1,-1.01,-10.89,4.16,6.32,5.76,26.42,41.54,1
330888,-0.03,0.1,-1.01,-11.17,3.2,5.26,5.76,26.42,41.54,1
330899,-0.03,0.1,-1.02,-11.08,2.2,4.35,5.76,26.42,41.54,1
330912,-0.03,0.1,-1.02,-8.83,1.35,2.64,5.53,27.06,41.18,1
330923,-0.03,0.09,-1.02,-7.15,1.58,1.71,5.53,27.06,41.18,1
330934,-0.03,0.09,-1.02,-5.62,2.08,0.87,5.53,27.06,41.18,1
330946,-0.03,0.08,-1.02,-3.67,2.7,-0.31,5.53,27.06,41.18,1
330956,-0.02,0.08,-1.02,-3.28,2.4,-0.72,5.53,27.06,41.18,1
330966,-0.02,0.07,-1.01,-3.38,1.94,-1.02,5.38,27.63,41.09,1
330980,-0.02,0.06,-1.0,-5.64,1.74,-0.86,5.38,27.63,41.09,1
330992,-0.01,0.06,-1.0,-7.58,1.54,-0.44,5.38,27.63,41.09,1
331002,-0.02,0.06,-1.01,-9.24,1.24,0.11,5.38,27.63,41.09,1
331014,-0.03,0.05,-1.02,-9.52,1.01,0.88,5.22,28.1,40.99,1
331026,-0.03,0.05,-1.02,-8.21,1.15,0.74,5.22,28.1,40.99,1
331039,-0.03,0.04,-1.02,-4.88,2.77,0.11,5.22,28.1,40.99,1
331051,-0.03,0.04,-1.02,-3.71,3.53,-0.11,5.22,28.1,40.99,1
331062,-0.03,0.04,-1.02,-2.77,3.9,-0.33,5.2,28.54,40.9,1
331074,-0.03,0.03,-1.02,-1.31,3.78,-0.63,5.2,28.54,40.9,1
331086,-0.03,0.03,-1.02,-0.93,3.82,-0.57,5.2,28.54,40.9,1
331098,-0.03,0.03,-1.02,-1.08,3.71,-0.31,5.2,28.54,40.9,1
331109,-0.03,0.02,-1.02,-1.65,3.42,-0.45,5.2,28.54,40.9,1
331120,-0.03,0.02,-1.02,-2.5,2.76,-0.58,4.94,28.89,40.5,1
331133,-0.03,0.02,-1.02,-3.53,1.27,-0.72,4.94,28.89,40.5,1
331144,-0.03,0.03,-1.01,-3.53,0.61,-0.82,4.94,28.89,40.5,1
331156,-0.03,0.03,-1.01,-3.86,-0.06,-0.89,4.94,28.89,40.5,1
331169,-0.03,0.03,-1.0,-5.45,-0.87,-0.68,4.9,29.18,40.42,1
331179,-0.03,0.03,-1.0,-6.14,-1.06,-0.45,4.9,29.18,40.42,1
331190,-0.04,0.03,-1.0,-6.68,-1.16,-0.39,4.9,29.18,40.42,1
331201,-0.04,0.03,-1.0,-7.53,-0.88,-0.26,4.9,29.18,40.42,1
331213,-0.04,0.03,-1.0,-8.0,-0.64,-0.04,4.82,29.51,40.5,1
331225,-0.04,0.03,-1.0,-8.52,-0.39,-0.03,4.82,29.51,40.5,1
331237,-0.03,0.04,-1.01,-10.46,-0.39,-0.54,4.82,29.51,40.5,1
331249,-0.04,0.03,-1.02,-11.5,-0.83,-0.52,4.82,29.51,40.5,1
331259,-0.04,0.03,-1.02,-11.96,-1.36,-0.43,4.82,29.51,40.5,1
331272,-0.04,0.02,-1.03,-11.1,-2.37,-0.56,4.69,29.89,40.39,1
331283,-0.03,0.02,-1.03,-10.47,-3.08,-0.58,4.69,29.89,40.39,1
331297,-0.03,0.01,-1.02,-8.66,-5.09,-0.65,4.69,29.89,40.39,1
331309,-0.03,0.01,-1.02,-7.79,-6.04,-0.68,4.69,29.89,40.39,1
331320,-0.03,0.01,-1.01,-7.38,-6.62,-0.65,4.53,30.3,40.19,1
331332,-0.03,0.0,-1.0,-8.26,-6.85,-0.67,4.53,30.3,40.19,1
331344,-0.03,-0.0,-1.0,-9.09,-6.64,-0.76,4.53,30.3,40.19,1
331357,-0.03,-0.01,-1.0,-10.16,-5.53,-0.81,4.53,30.3,40.19,1
331368,-0.03,-0.02,-1.0,-10.51,-5.03,-0.69,4.5,30.62,39.99,1
331379,-0.03,-0.02,-1.01,-10.68,-4.77,-0.45,4.5,30.62,39.99,1
331389,-0.02,-0.02,-1.01,-10.41,-4.47,-0.18,4.5,30.62,39.99,1
331401,-0.02,-0.02,-1.02,-8.45,-4.45,0.46,4.5,30.62,39.99,1
331412,-0.02,-0.02,-1.02,-7.11,-5.07,0.45,4.64,31.11,39.64,1
