time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
2199030,0.04,-1.0,0.09,-2.38,-2.99,7.74,20.76,47.85,19.21,2
2199045,0.05,-1.0,0.09,-2.49,-2.65,7.0,20.89,47.9,19.15,2
2199057,0.05,-1.0,0.09,-2.33,-2.48,6.3,20.89,47.9,19.15,2
2199067,0.06,-1.0,0.1,-2.1,-2.45,5.48,20.89,47.9,19.15,2
2199078,0.06,-1.0,0.1,-1.67,-2.72,4.49,20.89,47.9,19.15,2
2199090,0.05,-1.0,0.09,-1.58,-2.97,4.56,20.89,47.9,19.15,2
2199101,0.05,-1.0,0.09,-1.7,-3.08,5.08,21.07,47.98,18.83,2
2199113,0.05,-1.0,0.09,-2.53,-3.07,6.51,21.07,47.98,18.83,2
2199125,0.06,-1.01,0.09,-3.3,-3.12,7.3,21.07,47.98,18.83,2
2199135,0.06,-1.01,0.09,-4.28,-3.3,8.38,21.07,47.98,18.83,2
2199147,0.06,-1.01,0.09,-7.17,-4.05,12.06,21.31,48.01,18.72,2
2199159,0.05,-1.01,0.09,-8.93,-4.49,14.67,21.31,48.01,18.72,2
2199173,0.07,-0.99,0.1,-11.43,-3.95,18.16,21.31,48.01,18.72,2
2199184,0.07,-0.99,0.11,-11.57,-3.52,17.8,21.31,48.01,18.72,2
2199196,0.08,-0.98,0.12,-11.31,-3.14,17.07,21.56,48.07,18.51,2
2199208,0.09,-0.99,0.12,-10.19,-2.34,15.92,21.56,48.07,18.51,2
2199219,0.09,-0.99,0.13,-9.63,-2.27,15.47,21.56,48.07,18.51,2
2199232,0.1,-0.99,0.13,-8.69,-2.72,14.7,21.56,48.07,18.51,2
2199243,0.1,-1.0,0.13,-8.4,-2.85,14.28,21.87,48.1,18.2,2
2199255,0.1,-0.99,0.13,-8.2,-2.91,13.87,21.87,48.1,18.2,2
2199266,0.1,-0.99,0.13,-7.86,-2.79,12.81,21.87,48.1,18.2,2
2199277,0.11,-0.98,0.13,-7.46,-2.64,11.6,21.87,48.1,18.2,2
2199289,0.11,-0.98,0.13,-6.99,-2.58,10.23,21.87,48.1,18.2,2
2199301,0.11,-0.99,0.14,-6.8,-2.69,8.91,22.18,48.08,17.95,2
2199313,0.11,-0.99,0.14,-6.85,-2.62,8.82,22.18,48.08,17.95,2
2199326,0.11,-0.98,0.14,-6.11,-2.3,8.01,22.18,48.08,17.95,2
2199337,0.12,-0.98,0.15,-5.33,-2.17,7.09,22.18,48.08,17.95,2
2199348,0.12,-0.98,0.15,-4.53,-2.07,6.32,22.55,48.13,17.73,2
2199361,0.12,-0.99,0.15,-3.41,-2.24,5.5,22.55,48.13,17.73,2
2199372,0.12,-0.99,0.15,-3.08,-2.5,5.29,22.55,48.13,17.73,2
2199382,0.12,-0.99,0.15,-2.78,-2.64,4.89,22.55,48.13,17.73,2
2199392,0.12,-0.99,0.15,-2.47,-2.67,4.2,22.87,48.19,17.67,2
2199404,0.12,-0.99,0.15,-2.36,-2.36,3.61,22.87,48.19,17.67,2
2199415,0.11,-0.99,0.15,-2.67,-1.93,3.98,22.87,48.19,17.67,2
2199425,0.11,-0.99,0.15,-3.05,-1.49,4.44,22.87,48.19,17.67,2
2199435,0.12,-0.99,0.15,-3.34,-1.14,4.6,22.87,48.19,17.67,2
2199448,0.13,-0.98,0.16,-3.2,-1.34,3.53,23.17,48.14,17.25,2
2199458,0.13,-0.98,0.16,-2.88,-1.65,2.88,23.17,48.14,17.25,2
2199468,0.13,-0.98,0.16,-2.57,-1.79,2.46,23.17,48.14,17.25,2
2199479,0.12,-0.98,0.16,-2.33,-1.9,2.26,23.17,48.14,17.25,2
2199491,0.12,-0.98,0.16,-2.09,-1.82,2.1,23.17,48.14,17.25,2
2199502,0.12,-0.98,0.16,-2.07,-1.51,2.24,23.5,48.17,16.95,2
2199515,0.13,-0.98,0.16,-1.84,-1.5,1.52,23.5,48.17,16.95,2
2199525,0.13,-0.98,0.17,-1.58,-1.54,1.02,23.5,48.17,16.95,2
2199536,0.13,-0.98,0.17,-1.27,-1.61,0.72,23.5,48.17,16.95,2
2199546,0.13,-0.98,0.17,-0.98,-1.76,0.45,23.72,48.34,16.71,2
2199557,0.13,-0.98,0.17,-0.44,-2.02,-0.16,23.72,48.34,16.71,2
2199569,0.13,-0.98,0.17,-0.1,-2.01,-0.58,23.72,48.34,16.71,2
2199580,0.13,-0.98,0.17,0.43,-2.01,-1.22,23.72,48.34,16.71,2
2199595,0.13,-0.98,0.17,1.46,-2.23,-2.7,23.88,48.43,16.42,2
2199607,0.12,-0.99,0.16,1.57,-2.15,-2.75,23.88,48.43,16.42,2
2199618,0.12,-0.99,0.16,1.05,-1.66,-1.83,23.88,48.43,16.42,2
2199629,0.11,-0.99,0.16,0.7,-1.39,-1.13,23.88,48.43,16.42,2
2199640,0.12,-0.98,0.16,0.42,-1.14,-0.47,23.88,48.43,16.42,2
2199652,0.12,-0.98,0.17,0.49,-1.13,-0.15,23.95,48.44,16.33,2
2199663,0.13,-0.98,0.17,0.82,-1.35,-0.4,23.95,48.44,16.33,2
2199675,0.13,-0.98,0.17,1.26,-1.46,-0.69,23.95,48.44,16.33,2
2199685,0.12,-0.98,0.17,1.72,-1.51,-0.95,23.95,48.44,16.33,2
2199697,0.12,-0.99,0.16,2.15,-1.77,-1.14,24.09,48.57,16.13,2
2199709,0.12,-0.99,0.16,2.1,-1.89,-0.9,24.09,48.57,16.13,2
2199723,0.12,-0.99,0.16,2.01,-2.11,-1.01,24.09,48.57,16.13,2
2199733,0.12,-0.98,0.16,2.11,-2.11,-1.26,24.09,48.57,16.13,2
2199744,0.11,-0.98,0.16,2.3,-2.04,-1.48,24.23,48.62,16.05,2
2199757,0.12,-0.98,0.17,2.65,-2.18,-1.9,24.23,48.62,16.05,2
2199769,0.12,-0.98,0.17,2.78,-2.24,-2.06,24.23,48.62,16.05,2
2199779,0.12,-0.99,0.16,2.91,-2.22,-2.16,24.23,48.62,16.05,2
2199790,0.11,-0.99,0.16,2.96,-1.8,-2.24,24.23,48.62,16.05,2
2199801,0.11,-0.98,0.16,2.91,-1.51,-2.28,24.26,48.67,15.99,2
2199813,0.12,-0.98,0.16,3.01,-1.3,-2.57,24.26,48.67,15.99,2
2199824,0.12,-0.98,0.16,3.63,-0.83,-3.41,24.26,48.67,15.99,2
2199835,0.12,-0.98,0.17,3.96,-0.77,-3.84,24.26,48.67,15.99,2
2199846,0.12,-0.98,0.16,4.31,-0.64,-4.33,24.18,48.67,15.86,2
