time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
1153445,0.99,-0.02,0.07,1.61,0.54,0.03,48.24,-7.53,-5.74,3
1153456,0.99,-0.02,0.07,1.61,-0.33,0.04,48.24,-7.53,-5.74,3
1153469,0.99,-0.02,0.07,1.61,-2.41,0.0,48.24,-7.53,-5.74,3
1153480,0.98,-0.02,0.08,1.64,-2.89,0.0,48.24,-7.53,-5.74,3
1153491,0.98,-0.02,0.08,1.64,-2.63,0.0,48.28,-7.63,-5.9,3
1153505,0.98,-0.02,0.07,1.57,-0.9,0.0,48.28,-7.63,-5.9,3
1153515,0.99,-0.02,0.07,1.59,-0.72,0.03,48.28,-7.63,-5.9,3
1153526,0.99,-0.02,0.07,1.63,-0.99,0.01,48.28,-7.63,-5.9,3
1153538,0.99,-0.02,0.07,1.67,-1.41,0.01,48.22,-7.58,-5.85,3
1153550,0.98,-0.02,0.07,1.69,-1.31,0.0,48.22,-7.58,-5.85,3
1153562,0.98,-0.02,0.07,1.65,-0.91,0.02,48.22,-7.58,-5.85,3
1153574,0.98,-0.02,0.07,1.61,-0.37,0.04,48.22,-7.58,-5.85,3
1153586,0.99,-0.02,0.07,1.64,-0.63,0.05,48.22,-7.58,-5.85,3
1153598,0.99,-0.02,0.07,1.65,-1.16,0.06,48.14,-7.63,-5.86,3
1153609,0.99,-0.02,0.07,1.61,-1.16,0.04,48.14,-7.63,-5.86,3
1153621,0.98,-0.02,0.08,1.62,-1.09,0.04,48.14,-7.63,-5.86,3
1153631,0.98,-0.02,0.07,1.6,-0.83,0.03,48.14,-7.63,-5.86,3
1153644,0.98,-0.02,0.07,1.59,-0.15,0.02,48.12,-7.63,-5.79,3
1153654,0.99,-0.02,0.07,1.6,-0.33,0.02,48.12,-7.63,-5.79,3
1153666,0.99,-0.02,0.07,1.59,-1.23,-0.0,48.12,-7.63,-5.79,3
1153678,0.99,-0.02,0.07,1.6,-1.58,0.01,48.12,-7.63,-5.79,3
