time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
58605,-0.13,0.16,0.96,1.78,-0.67,0.07,22.35,22.07,-33.08,0
58616,-0.13,0.15,0.96,2.21,-0.33,0.05,22.35,22.07,-33.08,0
58626,-0.13,0.15,0.96,2.52,-0.03,0.11,22.35,22.07,-33.08,0
58636,-0.13,0.15,0.96,2.49,0.27,0.14,22.35,22.07,-33.08,0
58649,-0.13,0.15,0.97,1.87,-0.18,0.05,22.44,21.99,-32.97,0
58659,-0.13,0.15,0.97,1.5,-0.68,-0.05,22.44,21.99,-32.97,0
58670,-0.13,0.15,0.97,1.11,-1.09,-0.12,22.44,21.99,-32.97,0
58682,-0.13,0.15,0.96,0.75,-1.52,-0.25,22.44,21.99,-32.97,0
58694,-0.13,0.16,0.96,0.85,-1.36,-0.24,22.37,22.02,-32.92,0
58706,-0.13,0.16,0.95,1.38,-0.89,-0.14,22.37,22.02,-32.92,0
58718,-0.13,0.16,0.95,1.77,-0.72,-0.1,22.37,22.02,-32.92,0
58728,-0.13,0.16,0.96,2.04,-0.62,-0.02,22.37,22.02,-32.92,0
58740,-0.13,0.16,0.96,2.02,-0.51,0.05,22.29,22.05,-32.91,0
58751,-0.13,0.16,0.96,1.75,-0.54,0.09,22.29,22.05,-32.91,0
58763,-0.13,0.16,0.96,1.34,-0.81,0.13,22.29,22.05,-32.91,0
58776,-0.13,0.16,0.96,1.23,-1.08,0.17,22.29,22.05,-32.91,0
58788,-0.13,0.16,0.96,1.61,-1.03,0.15,22.29,22.05,-32.91,0
58799,-0.13,0.16,0.95,2.05,-0.86,0.09,22.31,22.13,-32.83,0
58811,-0.13,0.16,0.95,2.59,-0.27,0.01,22.31,22.13,-32.83,0
58821,-0.13,0.16,0.96,2.69,-0.11,0.02,22.31,22.13,-32.83,0
58831,-0.13,0.16,0.96,2.62,-0.16,0.01,22.31,22.13,-32.83,0
58842,-0.13,0.16,0.96,2.37,-0.49,0.02,22.22,21.98,-32.72,0
58854,-0.13,0.16,0.96,1.3,-1.07,0.01,22.22,21.98,-32.72,0
58864,-0.13,0.16,0.96,0.72,-1.29,0.04,22.22,21.98,-32.72,0
58875,-0.13,0.16,0.96,0.39,-1.55,0.07,22.22,21.98,-32.72,0
58887,-0.13,0.16,0.96,0.61,-1.73,0.13,22.22,21.98,-32.72,0
58899,-0.13,0.16,0.96,1.1,-1.54,0.12,22.26,22.11,-32.66,0
58909,-0.13,0.16,0.95,1.58,-1.12,0.05,22.26,22.11,-32.66,0
58919,-0.13,0.16,0.95,1.95,-0.71,0.01,22.26,22.11,-32.66,0
58930,-0.13,0.16,0.95,1.83,-0.37,-0.05,22.26,22.11,-32.66,0
58942,-0.13,0.16,0.96,1.53,-0.53,-0.1,22.28,22.01,-32.49,0
58952,-0.13,0.16,0.96,1.17,-0.84,-0.12,22.28,22.01,-32.49,0
58962,-0.13,0.16,0.96,0.87,-1.06,-0.17,22.28,22.01,-32.49,0
58973,-0.13,0.16,0.96,0.85,-1.11,0.03,22.28,22.01,-32.49,0
58984,-0.13,0.16,0.96,1.07,-1.03,0.2,22.28,22.01,-32.49,0
58995,-0.13,0.16,0.96,1.23,-0.91,0.3,22.32,22.08,-32.64,0
59005,-0.13,0.16,0.96,1.35,-0.72,0.3,22.32,22.08,-32.64,0
59016,-0.13,0.16,0.96,1.47,-0.62,0.21,22.32,22.08,-32.64,0
59027,-0.13,0.16,0.96,1.38,-0.71,0.25,22.32,22.08,-32.64,0
59037,-0.13,0.16,0.96,1.24,-0.88,0.23,22.32,22.08,-32.64,0
59048,-0.13,0.16,0.96,1.16,-0.97,0.21,22.29,22.05,-32.63,0
59059,-0.13,0.16,0.96,1.16,-0.92,0.18,22.29,22.05,-32.63,0
59070,-0.13,0.16,0.96,1.18,-0.95,0.22,22.29,22.05,-32.63,0
59080,-0.13,0.16,0.96,1.19,-1.02,0.22,22.29,22.05,-32.63,0
59091,-0.13,0.16,0.96,1.1,-1.02,0.2,22.26,22.08,-32.53,0
59102,-0.13,0.16,0.96,1.11,-0.94,0.06,22.26,22.08,-32.53,0
59113,-0.13,0.16,0.96,1.28,-0.86,0.03,22.26,22.08,-32.53,0
59123,-0.13,0.16,0.95,1.44,-0.76,0.03,22.26,22.08,-32.53,0
59134,-0.13,0.16,0.95,1.55,-0.59,0.01,22.26,22.08,-32.53,0
