time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
452202,0.02,0.01,0.99,3.21,0.26,0.31,8.62,-6.5,-28.83,0
452212,0.02,0.01,0.99,3.43,-0.51,-0.33,8.62,-6.5,-28.83,0
452223,0.02,0.01,0.99,3.93,-1.69,-0.77,8.62,-6.5,-28.83,0
452237,0.01,0.0,0.98,6.34,-4.46,-0.82,8.61,-6.41,-28.74,0
452247,0.01,0.0,0.98,7.43,-5.56,-0.31,8.61,-6.41,-28.74,0
452259,0.01,0.01,0.98,8.62,-6.51,0.75,8.61,-6.41,-28.74,0
452270,0.01,0.0,0.99,8.64,-6.8,0.63,8.61,-6.41,-28.74,0
452281,0.01,-0.01,0.99,8.38,-6.92,0.15,8.55,-6.29,-28.75,0
452294,-0.0,-0.02,0.99,6.47,-6.08,-0.73,8.55,-6.29,-28.75,0
452305,-0.01,-0.03,0.99,4.62,-4.83,-1.0,8.55,-6.29,-28.75,0
452317,-0.01,-0.02,0.98,2.32,-3.19,-1.24,8.55,-6.29,-28.75,0
452330,-0.0,-0.01,0.98,-0.93,0.22,-1.51,8.5,-6.26,-28.73,0
452342,0.0,-0.0,0.98,-1.45,1.07,-1.58,8.5,-6.26,-28.73,0
452356,0.01,-0.0,0.98,-1.12,0.68,-1.41,8.5,-6.26,-28.73,0
452368,0.01,-0.0,0.98,-0.68,0.03,-1.15,8.5,-6.26,-28.73,0
452380,0.01,-0.0,0.98,0.03,-0.81,-0.38,8.54,-6.32,-28.67,0
452392,0.0,-0.0,0.98,0.29,-0.68,0.2,8.54,-6.32,-28.67,0
452403,0.0,-0.01,0.98,0.15,-0.25,0.83,8.54,-6.32,-28.67,0
452415,0.0,-0.02,0.98,-0.09,0.73,2.03,8.54,-6.32,-28.67,0
452426,0.0,-0.02,0.98,0.18,0.87,2.46,8.47,-6.27,-28.84,0
452438,0.0,-0.01,0.98,0.47,0.7,2.51,8.47,-6.27,-28.84,0
452450,0.0,0.0,0.98,0.93,0.39,2.11,8.47,-6.27,-28.84,0
452461,0.0,0.0,0.98,1.46,0.44,1.82,8.47,-6.27,-28.84,0
452474,0.0,-0.0,0.98,2.67,0.64,1.5,8.47,-6.27,-28.84,0
452486,0.01,-0.0,0.98,3.19,0.42,1.37,8.37,-6.26,-28.99,0
452498,0.01,-0.0,0.98,3.57,0.25,1.2,8.37,-6.26,-28.99,0
452509,0.01,-0.0,0.98,4.28,0.11,0.82,8.37,-6.26,-28.99,0
452520,0.01,-0.0,0.98,4.7,0.1,0.73,8.37,-6.26,-28.99,0
452531,0.01,-0.0,0.98,4.97,0.2,0.68,8.4,-6.29,-28.82,0
452541,0.01,-0.0,0.98,5.07,0.43,0.64,8.4,-6.29,-28.82,0
452552,0.01,-0.01,0.98,4.97,0.65,0.56,8.4,-6.29,-28.82,0
452563,0.01,-0.01,0.99,4.87,0.36,0.57,8.4,-6.29,-28.82,0
452573,0.01,-0.01,0.99,4.79,0.04,0.66,8.4,-6.29,-28.82,0
452584,0.01,-0.01,0.98,4.64,-0.11,0.8,8.38,-6.31,-28.78,0
452596,0.01,-0.01,0.98,4.12,-0.14,0.83,8.38,-6.31,-28.78,0
452607,0.01,-0.02,0.98,3.86,-0.49,0.71,8.38,-6.31,-28.78,0
452620,0.01,-0.02,0.99,3.44,-1.51,0.58,8.38,-6.31,-28.78,0
452632,0.01,-0.02,0.99,3.02,-1.8,0.5,8.47,-6.27,-28.98,0
452644,0.01,-0.02,0.99,2.39,-1.8,0.47,8.47,-6.27,-28.98,0
452656,0.01,-0.02,0.98,1.22,-1.02,0.51,8.47,-6.27,-28.98,0
452667,0.01,-0.01,0.98,1.06,-0.64,0.5,8.47,-6.27,-28.98,0
452679,0.01,-0.01,0.98,1.36,-0.45,0.53,8.5,-6.23,-29.0,0
452691,0.01,-0.01,0.98,2.56,-1.03,0.57,8.5,-6.23,-29.0,0
452701,0.01,-0.02,0.98,2.89,-1.07,0.57,8.5,-6.23,-29.0,0
452711,0.01,-0.01,0.98,3.04,-0.86,0.63,8.5,-6.23,-29.0,0
452723,0.01,-0.01,0.98,3.53,-0.43,0.62,8.5,-6.23,-29.0,0
452735,0.01,-0.01,0.98,4.16,-0.66,0.54,8.61,-6.16,-29.13,0
452747,0.01,-0.01,0.99,4.89,-1.2,0.38,8.61,-6.16,-29.13,0
452759,0.01,-0.02,0.99,5.48,-2.82,-0.03,8.61,-6.16,-29.13,0
452771,0.01,-0.02,0.99,5.06,-3.29,-0.26,8.61,-6.16,-29.13,0
452783,0.01,-0.02,0.99,3.02,-2.83,-0.64,8.71,-6.04,-29.05,0
452794,0.01,-0.02,0.99,1.56,-1.91,-0.85,8.71,-6.04,-29.05,0
452806,0.01,-0.02,0.99,0.0,-0.74,-1.03,8.71,-6.04,-29.05,0
452820,0.01,-0.02,0.98,-2.44,0.42,-1.11,8.71,-6.04,-29.05,0
452831,0.01,-0.02,0.98,-2.56,0.47,-0.91,8.62,-5.98,-29.06,0
452843,0.01,-0.01,0.98,-1.75,0.27,-0.19,8.62,-5.98,-29.06,0
452855,0.01,-0.01,0.97,-0.82,0.24,0.21,8.62,-5.98,-29.06,0
452865,0.01,-0.01,0.97,0.58,0.05,0.54,8.62,-5.98,-29.06,0
452876,0.01,-0.01,0.97,2.2,-0.32,0.77,8.64,-6.13,-29.05,0
452888,0.01,-0.02,0.98,5.1,-1.16,0.88,8.64,-6.13,-29.05,0
452900,0.01,-0.02,0.98,5.97,-1.47,0.71,8.64,-6.13,-29.05,0
452910,0.0,-0.02,0.98,6.39,-1.77,0.55,8.64,-6.13,-29.05,0
452921,0.0,-0.03,0.99,5.63,-1.9,0.12,8.64,-6.13,-29.05,0
452933,0.0,-0.03,0.99,4.33,-1.47,-0.15,8.56,-6.08,-29.0,0
452945,0.0,-0.03,0.99,2.89,-0.7,-0.41,8.56,-6.08,-29.0,0
452957,0.01,-0.02,0.98,0.67,0.31,-0.65,8.56,-6.08,-29.0,0
452968,0.01,-0.02,0.98,0.39,0.29,-0.64,8.56,-6.08,-29.0,0
452979,0.01,-0.02,0.98,0.55,-0.02,-0.49,8.65,-6.09,-28.83,0
452991,0.01,-0.01,0.98,1.41,-0.98,-0.15,8.65,-6.09,-28.83,0
453003,0.01,-0.02,0.98,1.74,-1.18,-0.05,8.65,-6.09,-28.83,0
453017,0.01,-0.02,0.98,1.98,-1.04,0.2,8.65,-6.09,-28.83,0
453028,0.01,-0.02,0.98,2.04,-0.85,0.21,8.7,-6.05,-28.58,0
453039,0.01,-0.02,0.98,2.2,-0.65,0.15,8.7,-6.05,-28.58,0
453051,0.01,-0.02,0.98,2.91,-0.62,0.07,8.7,-6.05,-28.58,0
453062,0.01,-0.02,0.98,3.36,-0.83,0.11,8.7,-6.05,-28.58,0
453073,0.01,-0.02,0.98,3.68,-1.09,0.13,8.7,-6.05,-28.58,0
453086,0.01,-0.02,0.99,3.63,-1.25,0.06,8.83,-6.01,-28.77,0
453098,0.01,-0.02,0.99,3.24,-1.08,-0.02,8.83,-6.01,-28.77,0
453112,0.01,-0.02,0.98,2.58,-0.66,-0.19,8.83,-6.01,-28.77,0
453123,0.01,-0.02,0.98,2.58,-0.6,-0.26,8.83,-6.01,-28.77,0
453136,0.01,-0.02,0.98,3.43,-0.99,-0.37,8.88,-5.89,-28.8,0
453147,0.01,-0.02,0.98,4.13,-1.35,-0.26,8.88,-5.89,-28.8,0
453159,0.01,-0.02,0.98,4.77,-1.76,-0.02,8.88,-5.89,-28.8,0
453170,0.01,-0.02,0.98,5.65,-2.01,0.18,8.88,-5.89,-28.8,0
453182,0.01,-0.03,0.98,5.6,-1.85,0.17,8.8,-5.84,-28.94,0
453194,0.01,-0.03,0.98,5.39,-1.55,0.22,8.8,-5.84,-28.94,0
453206,0.01,-0.03,0.98,4.74,-0.93,0.06,8.8,-5.84,-28.94,0
453217,0.01,-0.03,0.98,4.16,-0.72,-0.06,8.8,-5.84,-28.94,0
453230,0.01,-0.03,0.98,3.19,-0.53,-0.3,8.81,-5.72,-29.06,0
453241,0.01,-0.03,0.99,2.65,-0.52,-0.34,8.81,-5.72,-29.06,0
453252,0.01,-0.03,0.99,2.12,-0.58,-0.39,8.81,-5.72,-29.06,0
453266,0.01,-0.03,0.99,1.09,-0.63,-0.51,8.81,-5.72,-29.06,0
453277,0.01,-0.03,0.98,0.66,-0.59,-0.57,8.82,-5.67,-29.23,0
453290,0.01,-0.03,0.98,0.06,-0.52,-0.67,8.82,-5.67,-29.23,0
453301,0.01,-0.03,0.98,-0.06,-0.43,-0.69,8.82,-5.67,-29.23,0
453313,0.01,-0.03,0.98,0.05,-0.36,-0.67,8.82,-5.67,-29.23,0
453325,0.01,-0.03,0.98,0.37,-0.43,-0.66,8.81,-5.77,-29.08,0
453337,0.01,-0.02,0.98,0.53,-0.44,-0.65,8.81,-5.77,-29.08,0
453349,0.01,-0.03,0.98,0.66,-0.45,-0.56,8.81,-5.77,-29.08,0
453361,0.01,-0.03,0.98,0.8,-0.64,-0.33,8.81,-5.77,-29.08,0
453373,0.01,-0.03,0.98,0.66,-0.64,-0.26,8.81,-5.77,-29.08,0
453385,0.01,-0.03,0.98,0.24,-0.51,-0.27,8.97,-5.84,-29.03,0
453396,0.01,-0.03,0.98,-0.02,-0.41,-0.33,8.97,-5.84,-29.03,0
453408,0.01,-0.02,0.98,-0.11,-0.44,-0.3,8.97,-5.84,-29.03,0
453419,0.01,-0.02,0.98,0.26,-0.64,-0.08,8.97,-5.84,-29.03,0
453431,0.01,-0.02,0.98,0.58,-0.71,0.08,9.1,-5.73,-29.04,0
453443,0.01,-0.02,0.98,0.88,-0.73,0.17,9.1,-5.73,-29.04,0
453455,0.01,-0.02,0.98,1.37,-0.67,0.16,9.1,-5.73,-29.04,0
453467,0.01,-0.02,0.98,1.7,-0.64,0.14,9.1,-5.73,-29.04,0
453479,0.01,-0.02,0.99,1.89,-0.61,0.12,9.05,-5.81,-28.92,0
453490,0.01,-0.03,0.99,1.59,-0.5,0.05,9.05,-5.81,-28.92,0
453502,0.01,-0.02,0.99,1.0,-0.34,-0.11,9.05,-5.81,-28.92,0
453515,0.01,-0.02,0.98,-0.05,-0.15,-0.34,9.05,-5.81,-28.92,0
453527,0.01,-0.02,0.98,-0.39,-0.17,-0.37,9.1,-5.64,-28.85,0
453541,0.01,-0.02,0.98,-0.56,-0.16,-0.38,9.1,-5.64,-28.85,0
453552,0.02,-0.02,0.98,-0.18,-0.2,-0.35,9.1,-5.64,-28.85,0
453563,0.02,-0.02,0.98,0.44,-0.41,-0.24,9.1,-5.64,-28.85,0
453576,0.02,-0.02,0.98,1.55,-1.04,0.02,9.02,-5.61,-28.87,0
453586,0.02,-0.02,0.98,1.74,-1.16,0.1,9.02,-5.61,-28.87,0
453597,0.02,-0.02,0.98,1.86,-1.02,0.04,9.02,-5.61,-28.87,0
453610,0.01,-0.02,0.98,2.12,-1.05,0.08,9.02,-5.61,-28.87,0
453620,0.01,-0.02,0.98,2.34,-1.1,0.13,9.02,-5.61,-28.87,0
453631,0.01,-0.02,0.98,2.48,-0.99,0.1,9.07,-5.73,-29.03,0
453642,0.01,-0.02,0.98,2.23,-0.76,0.01,9.07,-5.73,-29.03,0
453653,0.01,-0.02,0.98,2.04,-0.65,-0.13,9.07,-5.73,-29.03,0
453665,0.01,-0.02,0.98,2.0,-0.52,-0.25,9.07,-5.73,-29.03,0
453678,0.01,-0.02,0.98,2.25,-0.74,-0.37,9.01,-5.8,-28.89,0
453690,0.01,-0.02,0.98,2.39,-0.94,-0.45,9.01,-5.8,-28.89,0
453703,0.02,-0.02,0.98,2.82,-1.12,-0.47,9.01,-5.8,-28.89,0
453714,0.02,-0.02,0.98,3.22,-1.45,-0.44,9.01,-5.8,-28.89,0
453725,0.02,-0.02,0.98,3.6,-1.86,-0.38,8.98,-5.68,-29.22,0
453739,0.01,-0.03,0.99,3.7,-2.2,-0.27,8.98,-5.68,-29.22,0
453751,0.01,-0.03,0.98,3.1,-1.93,-0.3,8.98,-5.68,-29.22,0
453764,0.01,-0.03,0.98,1.85,-1.18,-0.42,8.98,-5.68,-29.22,0
