time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
3264830,-0.05,0.14,0.98,12.01,40.99,-29.43,7.6,-14.61,-22.69,4
3264842,-0.03,0.14,0.99,8.09,44.56,-36.02,7.6,-14.61,-22.69,4
3264853,-0.02,0.13,0.99,-0.45,47.2,-44.42,7.6,-14.61,-22.69,4
3264864,0.01,0.1,0.98,-2.7,45.68,-44.37,7.6,-14.61,-22.69,4
3264875,0.03,0.08,0.97,-3.33,42.68,-40.91,7.6,-14.61,-22.69,4
3264889,0.05,0.08,0.98,-5.35,32.35,-27.8,8.97,-14.23,-23.37,4
3264899,0.04,0.09,0.98,-7.31,27.06,-20.9,8.97,-14.23,-23.37,4
3264910,0.04,0.11,0.99,-8.82,22.9,-15.08,8.97,-14.23,-23.37,4
3264921,0.03,0.13,0.99,-11.67,17.47,-9.08,8.97,-14.23,-23.37,4
3264933,0.05,0.17,1.0,-12.61,14.64,-7.6,10.52,-14.1,-23.84,4
3264944,0.06,0.17,0.99,-12.48,11.14,-5.75,10.52,-14.1,-23.84,4
3264954,0.08,0.17,0.98,-11.44,7.89,-3.46,10.52,-14.1,-23.84,4
3264966,0.09,0.17,0.97,-8.4,0.23,1.38,10.52,-14.1,-23.84,4
3264977,0.09,0.17,0.98,-7.64,-3.96,3.62,10.52,-14.1,-23.84,4
3264989,0.08,0.17,0.98,-8.08,-7.82,5.08,11.9,-14.22,-23.99,4
3265001,0.07,0.19,0.98,-11.25,-14.55,5.41,11.9,-14.22,-23.99,4
3265011,0.06,0.2,0.98,-11.76,-17.5,5.49,11.9,-14.22,-23.99,4
3265022,0.05,0.21,0.98,-10.58,-20.15,5.95,11.9,-14.22,-23.99,4
3265035,0.04,0.21,0.98,-6.72,-24.52,7.29,12.76,-14.14,-24.4,4
3265047,0.03,0.2,0.98,-6.18,-25.57,6.91,12.76,-14.14,-24.4,4
3265061,0.02,0.17,0.97,-8.55,-25.93,3.51,12.76,-14.14,-24.4,4
3265071,0.02,0.17,0.97,-10.81,-26.39,1.57,12.76,-14.14,-24.4,4
3265082,0.02,0.17,0.97,-13.23,-27.64,0.13,13.11,-14.18,-24.57,4
3265093,0.01,0.19,0.98,-18.32,-33.73,-0.72,13.11,-14.18,-24.57,4
3265104,-0.02,0.19,1.0,-21.83,-38.33,-0.91,13.11,-14.18,-24.57,4
3265116,-0.04,0.19,1.0,-25.52,-42.54,-1.59,13.11,-14.18,-24.57,4
3265128,-0.04,0.19,0.99,-30.98,-45.7,-3.91,13.28,-14.38,-24.49,4
3265139,-0.04,0.2,0.97,-32.44,-44.79,-4.15,13.28,-14.38,-24.49,4
3265151,-0.03,0.2,0.95,-32.89,-43.14,-3.48,13.28,-14.38,-24.49,4
3265162,-0.02,0.21,0.93,-31.25,-40.07,0.8,13.28,-14.38,-24.49,4
3265173,-0.02,0.23,0.91,-29.25,-38.77,3.37,13.28,-14.38,-24.49,4
3265184,-0.02,0.24,0.91,-27.36,-37.85,5.75,13.07,-14.83,-24.28,4
3265195,-0.03,0.25,0.91,-25.94,-37.68,7.72,13.07,-14.83,-24.28,4
3265207,-0.04,0.26,0.92,-25.87,-40.03,9.69,13.07,-14.83,-24.28,4
3265219,-0.05,0.27,0.92,-27.48,-43.17,10.06,13.07,-14.83,-24.28,4
